Data,Temp_Med,Temp_Min,Temp_Max,Precipitacao,Final_Semana,Consumo
2015-09-16,"25,24","17,2","32,6",0,0,25343
2015-09-17,"27,26","20,4",33,0,0,33930
2015-09-18,"28,06","21,3","34,5",0,0,26311
2015-09-19,28,"21,1","35,5",0,1,31836
2015-09-20,"23,6","19,2","33,3",0,1,34695
2015-09-21,"24,72","17,4","32,8",0,0,29829
2015-09-22,"25,7","18,9","33,3",0,0,26362
2015-09-23,"26,14","18,3",34,0,0,32589
2015-09-24,"28,3","20,5","35,3",0,0,30345
2015-09-25,"23,24","19,2","30,3",0,0,29411
2015-09-26,"20,58","18,2","24,9","28,6",1,29637
2015-09-27,"22,3","18,2","30,6","1,8",1,32184
2015-09-28,"21,22","17,5","23,6","27,2",0,17731
2015-09-29,"21,8","17,5","27,1",0,0,24114
2015-09-30,"21,52","18,6","27,6",0,0,28034
2015-10-01,"20,96","17,6","26,4","7,6",0,22664
2015-10-02,"24,74","19,3","32,7",0,0,27488
2015-10-03,"20,28","16,1",25,25,1,24876
2015-10-04,"18,6","17,1","21,3","0,2",1,24862
2015-10-05,"17,36","14,8","22,4",0,0,24679
2015-10-06,"18,26","14,6","24,7",0,0,22304
2015-10-07,"24,5","15,9","32,6",0,0,30329
2015-10-08,"26,56","19,3",34,0,0,33182
2015-10-09,"24,52","19,8",29,0,0,23849
2015-10-10,"23,06","19,6",28,"0,3",1,33330
2015-10-11,"22,48","19,6",30,0,1,34496
2015-10-12,"22,76",19,"29,6",0,0,26249
2015-10-13,"21,4","18,1","27,6","2,4",0,26523
2015-10-14,"23,62","18,2","28,5",0,0,26793
2015-10-15,"28,12","18,9","35,8",0,0,35861
2015-10-16,"26,24","21,3","35,7",0,0,27387
2015-10-17,"21,22","17,3","29,2",0,1,32666
2015-10-18,"16,76","15,5","19,2","0,1",1,22199
2015-10-19,"19,86","15,5","27,2",0,0,24000
2015-10-20,"26,3","17,2","35,3",0,0,27871
2015-10-21,"24,62","21,3",32,0,0,31139
2015-10-22,"19,9","17,7","22,8","14,6",0,23065
2015-10-23,"20,5","17,6","27,3","13,4",0,26594
2015-10-24,"17,94","16,2","21,2",0,1,27657
2015-10-25,"17,64","15,7","19,2",0,1,26594
2015-10-26,"20,86",16,"28,5","28,4",0,28084
2015-10-27,22,"19,1","28,4","0,1",0,27582
2015-10-28,"20,42","18,6","23,9",0,0,24862
2015-10-29,"20,56","18,2","24,8",0,0,22634
2015-10-30,"23,86","19,1","31,2",0,0,31649
2015-10-31,"23,18","18,2","29,3",0,1,35781
2015-11-01,"20,22","18,7","22,4","27,2",1,24429
2015-11-02,"21,82","18,3","27,2","39,6",0,20648
2015-11-03,"21,86","19,5","25,6","3,4",0,22741
2015-11-04,"21,52","18,6","27,4","6,8",0,21479
2015-11-05,"21,8","18,2","24,8","39,3",0,23134
2015-11-06,"19,76",18,"22,8",0,0,20575
2015-11-07,"18,3","16,8",20,"1,2",1,24330
2015-11-08,"20,24","17,4","23,9","0,6",1,28610
2015-11-09,"22,98","18,7","29,5","4,4",0,28456
2015-11-10,"23,72","19,4","31,8","10,4",0,27964
2015-11-11,"26,2","19,8","32,7",0,0,29569
2015-11-12,"23,78","20,8","31,8",0,0,29267
2015-11-13,"22,78","19,4","29,6",0,0,28647
2015-11-14,"25,06","19,5","30,4","16,4",1,26836
2015-11-15,"23,06","19,8","29,7",8,1,29386
2015-11-16,"21,16","19,4","24,9",0,0,24609
2015-11-17,"21,76","17,7","29,7",0,0,26964
2015-11-18,"25,5","17,6","30,5","14,1",0,23614
2015-11-19,"26,16","23,3","30,4",0,0,22960
2015-11-20,"23,28","19,6",27,"6,8",0,20332
2015-11-21,"19,44","17,2","24,4","7,2",1,30392
2015-11-22,"22,26","17,1","28,8",0,1,31933
2015-11-23,"20,8","19,6","23,6","13,6",0,21662
2015-11-24,"21,36","19,3","22,6",7,0,21689
2015-11-25,"21,26","19,3","24,8","0,4",0,25119
2015-11-26,"22,28",19,"27,4",0,0,25285
2015-11-27,"22,28","17,6","28,4",0,0,28979
2015-11-28,"23,7","18,7","29,8",0,1,34382
2015-11-29,"22,38","20,5",26,"17,4",1,30617
2015-11-30,"19,1","16,7","23,3","23,4",0,20238
2015-12-01,"20,1","16,4","25,8",0,0,24529
2015-12-02,"22,1","18,2","29,4",0,0,30471
2015-12-03,"22,44","20,2","26,1",0,0,28405
2015-12-04,"22,76",19,"29,1",0,0,29513
2015-12-05,"24,8","19,5","30,6","0,1",1,32451
2015-12-06,"23,12","20,6",28,"0,1",1,32780
2015-12-07,"20,04",18,"23,9","47,8",0,23375
2015-12-08,"21,7",18,28,0,0,27713
2015-12-09,"23,96","19,6","27,9",0,0,27137
2015-12-10,24,"22,2","27,7",0,0,22933
2015-12-11,"24,04","20,7","30,3",0,0,30740
2015-12-12,"23,92","20,6","30,8",0,1,29579
2015-12-13,"24,54","19,3",31,"12,2",1,29188
2015-12-14,"26,28","21,1","32,5",2,0,28131
2015-12-15,"25,66","20,6","32,8",4,0,28617
2015-12-16,"22,04","20,7","24,8","1,5",0,21062
2015-12-17,"23,32","18,9","28,7",0,0,24337
2015-12-18,"26,42","19,6","33,5","0,1",0,27042
2015-12-19,"23,74","19,8","31,3","1,3",1,32536
2015-12-20,"22,84","19,6",29,"8,4",1,30127
2015-12-21,"23,12","19,6","29,1","27,2",0,24834
2015-12-22,"24,6","19,6","32,4",43,0,26828
2015-12-23,"27,46","22,1","32,4",3,0,26468
2015-12-24,"24,72","20,5","31,5","3,4",0,31572
2015-12-25,"23,58","17,8",31,39,0,26308
2015-12-26,"23,34","17,8","29,8","94,8",1,21955
2015-12-27,24,"21,1","28,2","13,6",1,32307
2015-12-28,"22,64","21,1","26,7",0,0,26095
2015-12-29,"21,68","20,3","24,1","10,3",0,22309
2015-12-30,"21,38","19,3","22,4","6,3",0,20467
2015-12-31,"24,76","20,2",29,0,0,22446
